path,git_status,classification,proposed_action,bytes,modified_utc,sha256,deletion_authorized
docs/SHOPSQUIRE_DELTA_RETEST_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,11470,1786147769,97cac5c5144b5c545356e13bd2c8e93927f6964f42d5350da09da545ca83ff39,false
docs/SHOPSQUIRE_DEMO_BUILD_HANDOFF_2026-07-24.md,??,project_document,review_for_documentation_commit_or_external_archive,20258,1784867170,4785b62ebef18aed6ee2b1f45a2e3d25ce5af18cbe3c99dbf5f2e6128004035b,false
docs/SHOPSQUIRE_DEMO_TRIGGERS_AND_SOURCING_THESIS_2026-08-02.md,??,project_document,review_for_documentation_commit_or_external_archive,12472,1785627266,d3c16824c980c4e90f711c207a20b087f99818d4e2b0d9c7237b1c7213e4ddc5,false
docs/SHOPSQUIRE_DISCOVERY_OPTIONS_DECISION_2026-08-09.md,??,project_document,review_for_documentation_commit_or_external_archive,8490,1786234015,4454b3f69ee49ea57ccfcb01e0a85b88ccec6240c0d58cb1c06fd51c113e3f48,false
docs/SHOPSQUIRE_E2E_ASSESSMENT_2026-08-11.md,??,project_document,review_for_documentation_commit_or_external_archive,13306,1786401143,ed9f698bf4a87b72e89b53b98c54f40ef8b53cb198cc8237b168ac726ebfa7ff,false
docs/SHOPSQUIRE_EVIDENCE_COVERAGE_ROADMAP_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,16114,1786179514,96140641fde2c94bb0057ea60351d4f60a6cf4e4cf8f75d54b61975f3fd3d577,false
docs/SHOPSQUIRE_EXEC_METRICS_GAP_2026-07-24.md,??,project_document,review_for_documentation_commit_or_external_archive,16504,1784891849,cf72a24f0947cba3afad0ad4257b98c86cc4184137d3fcf750cfa7d0d24ae628,false
docs/SHOPSQUIRE_EXTERNAL_SEARCH_DIAGNOSIS_2026-08-09.md,??,project_document,review_for_documentation_commit_or_external_archive,12484,1786228739,3971dd05bc16ee392c37cb75a30fd79cf77fba9a224e054f0db6953f164ad6b7,false
docs/SHOPSQUIRE_FULL_CAPABILITY_DEEPDIVE_2026-08-02.md,??,project_document,review_for_documentation_commit_or_external_archive,35500,1785674182,0f215ecbf637522fd93d76c9553df1d7014ffba6f411764040b1cc8c597ce04f,false
docs/SHOPSQUIRE_GOVERNED_DEGRADATION_ARCHITECTURE_2026-08-09.md,??,project_document,review_for_documentation_commit_or_external_archive,19533,1786235090,1e8f43f916ba62fb0939cd93e81bab22c6cd1a90007ab2eb2d35be42bd9c38c3,false
docs/SHOPSQUIRE_HYBRID_EDGE_DEPLOYMENT_2026-07-29.md,??,project_document,review_for_documentation_commit_or_external_archive,17320,1785318022,ed18e9e48fd912b6e83ea2c5cf5a0774ed6a8552e3ebbe1441708dc8cdc146bd,false
docs/SHOPSQUIRE_NARRATIVE_AND_STAKEHOLDER_DECK_2026-08-01.md,??,project_document,review_for_documentation_commit_or_external_archive,12689,1785583331,47a038779d17e203d5ce3abac3c31bfdebb09d6c3dee4bffedaa51f4f61a1a10,false
docs/SHOPSQUIRE_RESEARCH_ADJUDICATION_AND_NARRATION_ROADMAP_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,19380,1786168295,3965b4d079b22dd4374875e52d1968b43ec25ae3c5da240180259c6fac2cade7,false
docs/SHOPSQUIRE_RESEARCH_ARCHITECTURE_ROADMAP_2026-08-07.md,??,project_document,review_for_documentation_commit_or_external_archive,17607,1786099837,c035d4bc0498be6c531d0c8b9315f094c5f462478736caed0ddf81f2c77ef8d7,false
docs/SHOPSQUIRE_RESEARCH_TRIGGER_FINDINGS_2026-08-07.md,??,project_document,review_for_documentation_commit_or_external_archive,14854,1786099718,bd7b9d4a991065cf6f873839f7f58decae1cb9632232f52dd3241082db25b55f,false
docs/SHOPSQUIRE_ROUTING_ARCHITECTURE_DIAGRAM_2026-08-02.md,??,project_document,review_for_documentation_commit_or_external_archive,24767,1785656603,274d7cf1f2b0eb3c3b9596d634024b54e966c7123bb33ab4248c2892f2d9f858,false
docs/SHOPSQUIRE_SEARCH_RELIABILITY_VERDICT_2026-08-09.md,??,project_document,review_for_documentation_commit_or_external_archive,9159,1786232470,98cc6291ae8095ce0f298c02d74909cec50552a0c02d979364d34c025e742f60,false
docs/SHOPSQUIRE_SECOND_VERTICAL_CONNECTOR_ROADMAP_2026-07-26.md,??,project_document,review_for_documentation_commit_or_external_archive,14443,1785059817,0dd194f0d3fcbb3d814faa013d1647beac456fe5019f8a2d7ab692eb3ec2620f,false
docs/SHOPSQUIRE_SECURITY_CORPUS_AND_TRACE_UX_2026-08-01.md,??,project_document,review_for_documentation_commit_or_external_archive,17487,1785577499,b27d595b606d34790c09215f3ea4c4641fd0242de68f1b8e4d8525cfd11b195f,false
docs/SHOPSQUIRE_SELFHOSTED_PIVOT_AND_POSITIONING_2026-07-28.md,??,project_document,review_for_documentation_commit_or_external_archive,30431,1785207767,0098abc251fe825ce5b0adae4b94f8857421d9dd56334f6fb46073d3947782e3,false
docs/SHOPSQUIRE_STATE_OF_THE_PLATFORM_2026-07-29.md,??,project_document,review_for_documentation_commit_or_external_archive,13667,1785286785,98b638c69c69c0592aad89ed9a2b10afb7933b565284c66b35a48167a1092f20,false
docs/SHOPSQUIRE_SWOT_PESTEL_AND_DEFENSIBILITY_2026-07-29.md,??,project_document,review_for_documentation_commit_or_external_archive,26391,1785297193,47bb7ea52efc160d7b1f60e3be0ecd3a5b42c5f96663bacf98bd73ddc137a483,false
docs/SHOPSQUIRE_V2_ROUTING_CHAT_UX_LATENCY_2026-07-22.md,??,project_document,review_for_documentation_commit_or_external_archive,20981,1784721854,2b816ed2f1d6dedd81ae8cd5d4e4a4ffab68d072b57432f747c3c54008f5ab43,false
docs/SHOPSQUIRE_WORKLOAD_FIT_EXECUTION_STATUS_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,19908,1786177473,c2a3d3d91e87fc966b48cc82863472eb08e0d2f969f18b124e8b5e358d6deeaf,false
docs/SHOPSQUIRE_WORKLOAD_FIT_NARRATION_ROADMAP_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,53419,1786162435,bc99a369c8d17cdf0a2ffd73477f42e04bb36c4c326aa6dbcac29f76b7080528,false
docs/SHOPSQUIRE_WORKLOAD_GROUNDING_OVERFIT_2026-07-26.md,??,project_document,review_for_documentation_commit_or_external_archive,11237,1785048292,8d55368723d8b3a3220dfe70648d46bfa9cbb77f49092158a49fe73afd3ab3ba,false
docs/WORKTREE_OWNERSHIP_MANIFEST_2026-08-05.csv, M,project_document,review_for_documentation_commit_or_external_archive,51839,1785952737,7c22f70b8cdd2090de7cea5cd150e948297dd5f7b650d091d32666c6090aa49e,false
research-fit-breakdown-20260806.png,??,visual_evidence,review_for_curated_archive,148049,1786011562,bec3e50bb21493a2d07412b868746a6cdf6cf0769502de6be195e4c5be348138,false
scratchpad/agentic_ablation_live.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,613,1784748413,25cc868719d595eb4fe5e097681b26eb57508329fa6d311dd0736e8a8c7717a4,false
scratchpad/agentic_ablation_smoke.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,1868,1784748343,56e31c683f9b36632a01a0cae7082395ed511ec8873509b21c45876cbf610c48,false
scratchpad/backend-demo-20260718.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,28639,1784374557,e39695a14810a3941dde040182677a10e783bf030583c6888e380a4159391c7d,false
scratchpad/backend-demo-20260718.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,4037,1784374557,25680374b119fd1043c212218e63d536f7a1cf2c30c4662d31f4d378c486ca26,false
scratchpad/backend-demo-20260718b.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,320844,1784374649,748dc745bfc2c522d317439729af63bcbe5f3710454f677df6939315e838879e,false
scratchpad/backend-demo-20260718b.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,2991,1784374649,6f9a4a66bde2f0097ae38f061196b821a6951bd0fa9cf6f2f39d79a94466283f,false
scratchpad/backend-demo-20260718c.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,15218,1784374813,68228e5a5f33e91c3fbd4a680b31d1b78b175b8bb4c3e432509294503e94a6b6,false
scratchpad/backend-demo-20260718c.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,3048,1784374808,63e527a32eae4824a2d90739d87c0dd82ba2cb2e4fd52255c8f757708d23c7b7,false
scratchpad/backend-demo-20260718d.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,39120,1784375525,4e420af0a18829a65de5a7efa65063ec32bd4a1accf5d19e2e078719e9671351,false
scratchpad/backend-demo-20260718d.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,10212,1784375525,6c351c72afba0a8fbe59fca6cfb5b0013bd01a6221e7088e9337672ddc3addf6,false
scratchpad/backend-demo-20260719.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,101474,1784463233,7c5505d8b804bf2da38eb7879a84f15b013bba5203f8bee7e0db3514908a30dd,false
scratchpad/backend-demo-20260719.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,12499,1784463230,1cd74a0b09eb9ef87ccb8bbd54666cd6576bc3ec83fdbaf0e457fc95cb08b0d0,false
scratchpad/backend-timing.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,254199,1785085624,75e8ece0a76379ccb90191fe35423fb120925d4547e04f7619c2f9a111bcc7c4,false
scratchpad/backend-timing.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,28220,1785085624,5a39bbae56aed3c76d359073c6b55bb6e6046b19ca9954f05c2aa6a9d4b52dc1,false
scratchpad/backend-v2-20260719.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,586305,1784464151,a06a9dd1fbd2b4b540b6290c9936c62492e0413c9544bbe62cb023a2a0c58801,false
scratchpad/backend-v2-20260719.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,64000,1784464151,3a1d76651f1f2fcac3b6221e8cdbffe961f6d7c444c07631da1bf8df08061ea1,false
scratchpad/backend-v2-current.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,38712,1784466696,494943d5d59c3d9ccd2ccb0736a706e8a7bda6208cc2c41a833ca8b662dc03c1,false
scratchpad/backend-v2-current.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,12670,1784466696,32430119ee33695fb1be2cf1904cd7af9f7234b472869a5c9c4030e7d473e3d2,false
scratchpad/backend-v2-final.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,66768,1784467466,58f7aedf8187d02d0b8e3906831a29b2f0d15d5a1ed7c417fa7af2f5c90ab15c,false
scratchpad/backend-v2-final.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,15857,1784467466,55f4e8b99365ac08ae558fe3056cafed85aed84868f0724ebe1caf007be30a9f,false
scratchpad/backend-v2-image-final.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,48103,1784468178,7d66b4b9d1a1c4e27fa84fcdd4a8a217c51d637416aace884f6b3d3c7ed31e24,false
scratchpad/backend-v2-image-final.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,21925,1784468178,b9a193226fa33747e8979f8c31ef644d1d047ecf7a305e5aa7836997f1ca4b77,false
scratchpad/backend-v2-latest.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,248434,1784466146,d88b8b586f8cff839d25f3aff2d51e6d5934521e77c1a9b4d1cf8da403d2c2a4,false
scratchpad/backend-v2-proof.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,15458,1784468468,5619cc0dc6ee834eac9cb8976a7326b5c6041ce3554aee0789c8fa58b41fb621,false
scratchpad/backend-v2-proof.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,9281,1784468468,bdcfa01063c239367b0fa6e1e109dfc2e02eeffd138633c5f1356c1640a17530,false
scratchpad/backend-v2.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,300910,1784465300,5d4bf9bae8d5e94c2a0349afeec036e337187ea4508bf22c404f9a799417ae7e,false
scratchpad/baseline-gaming-dev-54000.png,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,228597,1784463231,f7aaf39b1f411b98aa76eee7d4ad00ceca4332a0a54fbc1a6a0dd36775b90a0b,false
scratchpad/bi-backend-8080.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,2587,1784896214,cb61aa4733a1ef4d91faaf5a0c121203c26c6fdcb4af93c60a0a06734431b525,false
scratchpad/bi-backend-8080.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,0,1784896192,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false
scratchpad/cart-fix-8080.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,38991,1784901420,9d5219c93c1c1134a00bfa47d030d610056472aa356131b18a2cf69fc3337bf6,false
scratchpad/cart-fix-8080.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,7581,1784901420,74184cbc13bea6e86f3774abf5fa9bf0fbb13bb1ceb67963bb79791bb90ef98e,false
scratchpad/demo-policy-err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,548690,1784783152,a0ffca20d204b1c1e358c516dc05269b2f1be306c9610b82fcb69ba8392a91bc,false
scratchpad/demo-policy-final-20260723-155446-err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,3825036,1784800375,b6799c50c47396c4540dbe6d5891b18d684cf625df3cbc8c419b67dc9520af6e,false
scratchpad/demo-policy-final-20260723-155446-out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,296241,1784800375,429c770f3e01a14bdc0564a625da98cd6607906e103aaf17fb114934b1e75427,false
scratchpad/demo-policy-out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,40150,1784783152,21b51805038b7e2f505fff3f814563c4fa4cd03c3bcd932bb94fe482d6b4242d,false
scratchpad/demo-policy2-err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,1650060,1784785136,d3a08949a57e2ccde7daf8210ac482f9795d9772eb5c085d7cfd0646f14a9fb4,false
scratchpad/demo-policy2-out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,141160,1784785135,d26120d0dca118bfd5099f67dc2f24e9be2287c6a857a51202f7e8399cb9303f,false
scratchpad/demo-policy3-err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,598566,1784786083,17ab569abdefb05998ea25fd4955cf04a509bfd7600e647ec844648e449e5278,false
scratchpad/demo-policy3-out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,48619,1784786083,d05b9b314725334e06f3d1c985587c9b5d8d1983d4a0e2ff8749589a336074e5,false
scratchpad/proc-resume-after-confirm.png,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,1281690,1784463569,da6c6d010dc0b0ed1338bceaf5daab284d93f8d23f9bf00fdb6d5d8ea9b4314c,false
scratchpad/proc-resume-page.png,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,1339086,1784463532,f36668d16b18bb97cdf9a0ff08b160e1592a2edd3beef024ce0b2de87b46d3f0,false
scratchpad/replay-after-162376f-run1.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,151733,1784787033,6c8138af0c5cc1f7f93dda32646484d47f2dc4008991fa2945e3bd46c7f11f4d,false
scratchpad/replay-compare-current.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,10703,1784799992,de79f2d66b4df7cba4a64a1eb717b1a2c2da7ff8427ec70257d7bc7b07f2e2a0,false
scratchpad/replay-demo-critical-current.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,1473,1784799953,d1234fe5ec1bc553dfeca565d4fbf112bc776a146d3fb8948b6b030fdfb86147,false
scratchpad/replay-explain-current.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,17179,1784800146,1a0d9ea38ea89cbe484f1e96b820d0e2022c71a5bbe764d1aef7d6796ca00b7e,false
scratchpad/replay-off-domain-current.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,9416,1784800140,234a05937ad80f38a5807920f56fb583fcb0254b7518bbd5200ef21fc6e7c4ea,false
scratchpad/replay-sparse-offcatalog-a100-fixed.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,9767,1784788483,66a37e513e1ca2627611c244b5d2c7275fb51c657f3f05577a613f1548b6f74b,false
scratchpad/replay-sparse-offcatalog-a100.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,9606,1784788063,0c059f19550658569162eb953e472b2f8345750e04b5949775961481fdb15dea,false
scratchpad/replay-sparse-router-final.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,144525,1784788684,d89a3c6a3e3440860daba95fc237cef675a2eba68e3eda0d1cd858142f704df0,false
scratchpad/replay-sparse-router-run1.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,151180,1784787494,c83cf8985e85e83be29c4ad8a179fd2251e4ace6c01428dd24e478568f1c7734,false
scratchpad/replay-sparse-router-run2.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,151191,1784787680,f5f2b0baa21e5f3d8805e15347bda11fe9575aca03d9527bcaccf4879ae75a3e,false
scratchpad/replay-sparse-router-run3.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,151190,1784787851,92331d1950dfc3d5f23f9b6d719f25514ef8a1a5d4e666d610c9cda2e7fb840a,false
scratchpad/replay-sparse-spec-not-formfactor.json,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,10553,1784788063,fc7d51239b9b3e4792d81c048e1dd2ae31e17b6f46d3988a7680db22a36bf15b,false
scratchpad/runtime/backend-restart.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,961103,1785072425,3b4c23b189b3bb224eef5816801bcbae9719515a9ab519f99a8ebc2dd7a3dc78,false
scratchpad/runtime/backend-restart.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,74607,1785072425,c68bf3f2c09e654bc36e39564f76e99ad04279f3b08a288efaa6193c69f4bd08,false
scratchpad/runtime/backend.err.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,1196728,1785070883,af637a8510f15ad9523b63d6cea7197f0f55b5069881bf51418dd4857f085b2a,false
scratchpad/runtime/backend.out.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,96420,1785070883,bd8c2b8c33b67fdf413f69e8de6f64e9b4ce20df737258bcf4878439fb98323b,false
scratchpad/start_demo_stderr.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,229376,1784749245,a59d3e6084cd3745dd17b69baa2ca218d54d8552c65251caeb6ab5bfd376cb9f,false
scratchpad/start_demo_stdout.log,tracked_or_ignored,runtime_log_review,retain_until_replaced_by_curated_proof,21756,1784749244,df5593e0d28d5b4a3d05c4b02ff126482c9cd7d0da05efafa9ec4c38916da7d6,false
scratchpad/v2-bulk-alias-baseline.png,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,1276109,1784463374,43b31b63eea699c32aec2ced6ca64e6cf5c88f026cc9ddcc1f591c163ac0383e,false
scratchpad/v2-coupled-budget-switch.png,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,1308498,1784463619,5933c532c8faf5b35e2a6f27458b11a62b651c661e5fe76763fb98ba53c0de26,false
scratchpad/v2-gaming-dev-54000.png,tracked_or_ignored,scratchpad_evidence,review_for_curated_archive,233394,1784463334,ad736647f283d3b47c03ea2f0677e56b1bfe661e12e869bea583d6bddca6a118,false
