event_id,timestamp,receipt_id,sku,event_type,surface,metadata
INT-0000030,2026-01-01T10:40:10,RCPT-20260101-00003,P-0046,hover,checkout_upsell,synthetic
INT-0000031,2026-01-01T10:40:10,RCPT-20260101-00003,P-0009,view,checkout_upsell,synthetic
INT-0000032,2026-01-01T10:40:10,RCPT-20260101-00003,P-0009,hover,checkout_upsell,synthetic
INT-0000033,2026-01-01T20:17:49,RCPT-20260101-00004,P-0060,view,checkout_upsell,synthetic
INT-0000034,2026-01-01T20:17:49,RCPT-20260101-00004,P-0056,view,checkout_upsell,synthetic
INT-0000035,2026-01-01T20:17:49,RCPT-20260101-00004,P-0056,hover,checkout_upsell,synthetic
INT-0000036,2026-01-01T20:17:49,RCPT-20260101-00004,P-0042,view,checkout_upsell,synthetic
INT-0000037,2026-01-01T20:17:49,RCPT-20260101-00004,P-0042,hover,checkout_upsell,synthetic
INT-0000038,2026-01-01T20:17:49,RCPT-20260101-00004,P-0058,view,checkout_upsell,synthetic
INT-0000039,2026-01-01T20:17:49,RCPT-20260101-00004,P-0076,view,checkout_upsell,synthetic
INT-0000040,2026-01-01T20:17:49,RCPT-20260101-00004,P-0024,view,checkout_upsell,synthetic
INT-0000041,2026-01-01T20:17:49,RCPT-20260101-00004,P-0024,hover,checkout_upsell,synthetic
INT-0000042,2026-01-01T21:40:19,RCPT-20260101-00005,P-0034,view,checkout_upsell,synthetic
INT-0000043,2026-01-01T21:40:19,RCPT-20260101-00005,P-0034,hover,checkout_upsell,synthetic
INT-0000044,2026-01-01T21:40:19,RCPT-20260101-00005,P-0034,click,checkout_upsell,synthetic
INT-0000045,2026-01-01T21:40:19,RCPT-20260101-00005,P-0036,view,checkout_upsell,synthetic
INT-0000046,2026-01-01T21:40:19,RCPT-20260101-00005,P-0036,hover,checkout_upsell,synthetic
INT-0000047,2026-01-01T21:40:19,RCPT-20260101-00005,P-0043,view,checkout_upsell,synthetic
INT-0000048,2026-01-01T21:40:19,RCPT-20260101-00005,P-0043,click,checkout_upsell,synthetic
INT-0000049,2026-01-01T21:40:19,RCPT-20260101-00005,P-0037,view,checkout_upsell,synthetic
INT-0000050,2026-01-01T21:40:19,RCPT-20260101-00005,P-0037,hover,checkout_upsell,synthetic
INT-0000051,2026-01-01T21:40:19,RCPT-20260101-00005,P-0020,view,checkout_upsell,synthetic
INT-0000052,2026-01-01T21:40:19,RCPT-20260101-00005,P-0020,hover,checkout_upsell,synthetic
INT-0000053,2026-01-01T21:40:19,RCPT-20260101-00005,P-0002,view,checkout_upsell,synthetic
INT-0000054,2026-01-01T22:23:56,RCPT-20260101-00006,P-0060,view,checkout_upsell,synthetic
INT-0000055,2026-01-01T22:23:56,RCPT-20260101-00006,P-0060,click,checkout_upsell,synthetic
INT-0000056,2026-01-01T22:23:56,RCPT-20260101-00006,P-0029,view,checkout_upsell,synthetic
INT-0000057,2026-01-01T22:23:56,RCPT-20260101-00006,P-0029,hover,checkout_upsell,synthetic
INT-0000058,2026-01-01T22:23:56,RCPT-20260101-00006,P-0032,view,checkout_upsell,synthetic
INT-0000059,2026-01-01T22:23:56,RCPT-20260101-00006,P-0032,hover,checkout_upsell,synthetic
INT-0000060,2026-01-01T22:23:56,RCPT-20260101-00006,P-0031,view,checkout_upsell,synthetic
INT-0000061,2026-01-01T22:23:56,RCPT-20260101-00006,P-0031,hover,checkout_upsell,synthetic
INT-0000062,2026-01-01T22:23:56,RCPT-20260101-00006,P-0049,view,checkout_upsell,synthetic
INT-0000063,2026-01-01T22:23:56,RCPT-20260101-00006,P-0049,hover,checkout_upsell,synthetic
INT-0000064,2026-01-01T22:23:56,RCPT-20260101-00006,P-0062,view,checkout_upsell,synthetic
INT-0000065,2026-01-01T10:42:30,RCPT-20260101-00007,P-0008,view,checkout_upsell,synthetic
INT-0000066,2026-01-01T10:42:30,RCPT-20260101-00007,P-0011,view,checkout_upsell,synthetic
INT-0000067,2026-01-01T10:42:30,RCPT-20260101-00007,P-0011,hover,checkout_upsell,synthetic
INT-0000068,2026-01-01T10:42:30,RCPT-20260101-00007,P-0020,view,checkout_upsell,synthetic
INT-0000069,2026-01-01T10:42:30,RCPT-20260101-00007,P-0020,hover,checkout_upsell,synthetic
INT-0000070,2026-01-01T10:42:30,RCPT-20260101-00007,P-0070,view,checkout_upsell,synthetic
INT-0000071,2026-01-01T10:42:30,RCPT-20260101-00007,P-0070,hover,checkout_upsell,synthetic
INT-0000072,2026-01-01T10:42:30,RCPT-20260101-00007,P-0005,view,checkout_upsell,synthetic
INT-0000073,2026-01-01T10:42:30,RCPT-20260101-00007,P-0063,view,checkout_upsell,synthetic
INT-0000074,2026-01-01T10:42:30,RCPT-20260101-00007,P-0063,hover,checkout_upsell,synthetic
INT-0000075,2026-01-01T18:41:23,RCPT-20260101-00008,P-0034,view,checkout_upsell,synthetic
INT-0000076,2026-01-01T18:41:23,RCPT-20260101-00008,P-0030,view,checkout_upsell,synthetic
INT-0000077,2026-01-01T18:41:23,RCPT-20260101-00008,P-0054,view,checkout_upsell,synthetic
INT-0000078,2026-01-01T18:41:23,RCPT-20260101-00008,P-0029,view,checkout_upsell,synthetic
INT-0000079,2026-01-01T18:41:23,RCPT-20260101-00008,P-0073,view,checkout_upsell,synthetic
INT-0000080,2026-01-01T18:41:23,RCPT-20260101-00008,P-0073,hover,checkout_upsell,synthetic
INT-0000081,2026-01-01T18:41:23,RCPT-20260101-00008,P-0045,view,checkout_upsell,synthetic
INT-0000082,2026-01-01T18:41:23,RCPT-20260101-00008,P-0045,hover,checkout_upsell,synthetic
INT-0000083,2026-01-01T09:45:40,RCPT-20260101-00009,P-0034,view,checkout_upsell,synthetic
INT-0000084,2026-01-01T09:45:40,RCPT-20260101-00009,P-0051,view,checkout_upsell,synthetic
INT-0000085,2026-01-01T09:45:40,RCPT-20260101-00009,P-0056,view,checkout_upsell,synthetic
INT-0000086,2026-01-01T09:45:40,RCPT-20260101-00009,P-0056,hover,checkout_upsell,synthetic
INT-0000087,2026-01-01T09:45:40,RCPT-20260101-00009,P-0004,view,checkout_upsell,synthetic
INT-0000088,2026-01-01T09:45:40,RCPT-20260101-00009,P-0062,view,checkout_upsell,synthetic
INT-0000089,2026-01-01T09:45:40,RCPT-20260101-00009,P-0062,hover,checkout_upsell,synthetic
INT-0000090,2026-01-01T09:45:40,RCPT-20260101-00009,P-0024,view,checkout_upsell,synthetic
INT-0000091,2026-01-01T09:45:40,RCPT-20260101-00009,P-0024,hover,checkout_upsell,synthetic
INT-0000092,2026-01-01T11:50:30,RCPT-20260101-00010,P-0048,view,checkout_upsell,synthetic
INT-0000093,2026-01-01T11:50:30,RCPT-20260101-00010,P-0048,hover,checkout_upsell,synthetic
INT-0000094,2026-01-01T11:50:30,RCPT-20260101-00010,P-0048,click,checkout_upsell,synthetic
INT-0000095,2026-01-01T11:50:30,RCPT-20260101-00010,P-0056,view,checkout_upsell,synthetic
INT-0000096,2026-01-01T11:50:30,RCPT-20260101-00010,P-0056,hover,checkout_upsell,synthetic
INT-0000097,2026-01-01T11:50:30,RCPT-20260101-00010,P-0056,click,checkout_upsell,synthetic
INT-0000098,2026-01-01T11:50:30,RCPT-20260101-00010,P-0002,view,checkout_upsell,synthetic
INT-0000099,2026-01-01T11:50:30,RCPT-20260101-00010,P-0002,hover,checkout_upsell,synthetic
INT-0000100,2026-01-01T11:50:30,RCPT-20260101-00010,P-0042,view,checkout_upsell,synthetic
INT-0000101,2026-01-01T11:50:30,RCPT-20260101-00010,P-0042,hover,checkout_upsell,synthetic
INT-0000102,2026-01-01T11:50:30,RCPT-20260101-00010,P-0053,view,checkout_upsell,synthetic
INT-0000103,2026-01-01T11:50:30,RCPT-20260101-00010,P-0009,view,checkout_upsell,synthetic
INT-0000104,2026-01-01T08:25:46,RCPT-20260101-00011,P-0069,view,checkout_upsell,synthetic
INT-0000105,2026-01-01T08:25:46,RCPT-20260101-00011,P-0074,view,checkout_upsell,synthetic
INT-0000106,2026-01-01T08:25:46,RCPT-20260101-00011,P-0074,hover,checkout_upsell,synthetic
INT-0000107,2026-01-01T08:25:46,RCPT-20260101-00011,P-0010,view,checkout_upsell,synthetic
INT-0000108,2026-01-01T08:25:46,RCPT-20260101-00011,P-0010,hover,checkout_upsell,synthetic
INT-0000109,2026-01-01T08:25:46,RCPT-20260101-00011,P-0013,view,checkout_upsell,synthetic
INT-0000110,2026-01-01T08:25:46,RCPT-20260101-00011,P-0013,hover,checkout_upsell,synthetic
INT-0000111,2026-01-01T08:25:46,RCPT-20260101-00011,P-0045,view,checkout_upsell,synthetic
INT-0000112,2026-01-01T08:25:46,RCPT-20260101-00011,P-0045,hover,checkout_upsell,synthetic
INT-0000113,2026-01-01T08:25:46,RCPT-20260101-00011,P-0045,click,checkout_upsell,synthetic
INT-0000114,2026-01-01T08:25:46,RCPT-20260101-00011,P-0042,view,checkout_upsell,synthetic
INT-0000115,2026-01-01T08:25:46,RCPT-20260101-00011,P-0042,hover,checkout_upsell,synthetic
INT-0000116,2026-01-02T15:51:55,RCPT-20260102-00012,P-0030,view,checkout_upsell,synthetic
INT-0000117,2026-01-02T15:51:55,RCPT-20260102-00012,P-0028,view,checkout_upsell,synthetic
INT-0000118,2026-01-02T15:51:55,RCPT-20260102-00012,P-0028,hover,checkout_upsell,synthetic
INT-0000119,2026-01-02T15:51:55,RCPT-20260102-00012,P-0010,view,checkout_upsell,synthetic
INT-0000120,2026-01-02T15:51:55,RCPT-20260102-00012,P-0026,view,checkout_upsell,synthetic
INT-0000121,2026-01-02T15:51:55,RCPT-20260102-00012,P-0026,hover,checkout_upsell,synthetic
INT-0000122,2026-01-02T15:51:55,RCPT-20260102-00012,P-0042,view,checkout_upsell,synthetic
INT-0000123,2026-01-02T15:51:55,RCPT-20260102-00012,P-0052,view,checkout_upsell,synthetic
INT-0000124,2026-01-02T15:51:55,RCPT-20260102-00012,P-0052,hover,checkout_upsell,synthetic
INT-0000125,2026-01-02T15:30:13,RCPT-20260102-00013,P-0043,view,checkout_upsell,synthetic
INT-0000126,2026-01-02T15:30:13,RCPT-20260102-00013,P-0049,view,checkout_upsell,synthetic
INT-0000127,2026-01-02T15:30:13,RCPT-20260102-00013,P-0049,hover,checkout_upsell,synthetic
INT-0000128,2026-01-02T15:30:13,RCPT-20260102-00013,P-0046,view,checkout_upsell,synthetic
INT-0000129,2026-01-02T15:30:13,RCPT-20260102-00013,P-0046,hover,checkout_upsell,synthetic
INT-0000130,2026-01-02T15:30:13,RCPT-20260102-00013,P-0022,view,checkout_upsell,synthetic
INT-0000131,2026-01-02T15:30:13,RCPT-20260102-00013,P-0016,view,checkout_upsell,synthetic
INT-0000132,2026-01-02T15:30:13,RCPT-20260102-00013,P-0009,view,checkout_upsell,synthetic
INT-0000133,2026-01-02T12:13:03,RCPT-20260102-00014,P-0040,view,checkout_upsell,synthetic
INT-0000134,2026-01-02T12:13:03,RCPT-20260102-00014,P-0060,view,checkout_upsell,synthetic
INT-0000135,2026-01-02T12:13:03,RCPT-20260102-00014,P-0060,hover,checkout_upsell,synthetic
INT-0000136,2026-01-02T12:13:03,RCPT-20260102-00014,P-0071,view,checkout_upsell,synthetic
INT-0000137,2026-01-02T12:13:03,RCPT-20260102-00014,P-0071,hover,checkout_upsell,synthetic
INT-0000138,2026-01-02T12:13:03,RCPT-20260102-00014,P-0029,view,checkout_upsell,synthetic
INT-0000139,2026-01-02T12:13:03,RCPT-20260102-00014,P-0018,view,checkout_upsell,synthetic
INT-0000140,2026-01-02T12:13:03,RCPT-20260102-00014,P-0018,hover,checkout_upsell,synthetic
INT-0000141,2026-01-02T12:13:03,RCPT-20260102-00014,P-0022,view,checkout_upsell,synthetic
INT-0000142,2026-01-02T14:07:56,RCPT-20260102-00015,P-0061,view,checkout_upsell,synthetic
INT-0000143,2026-01-02T14:07:56,RCPT-20260102-00015,P-0034,view,checkout_upsell,synthetic
INT-0000144,2026-01-02T14:07:56,RCPT-20260102-00015,P-0034,hover,checkout_upsell,synthetic
INT-0000145,2026-01-02T14:07:56,RCPT-20260102-00015,P-0030,view,checkout_upsell,synthetic
INT-0000146,2026-01-02T14:07:56,RCPT-20260102-00015,P-0030,hover,checkout_upsell,synthetic
INT-0000147,2026-01-02T14:07:56,RCPT-20260102-00015,P-0036,view,checkout_upsell,synthetic
INT-0000148,2026-01-02T14:07:56,RCPT-20260102-00015,P-0060,view,checkout_upsell,synthetic
INT-0000149,2026-01-02T14:07:56,RCPT-20260102-00015,P-0060,hover,checkout_upsell,synthetic
INT-0000150,2026-01-02T14:07:56,RCPT-20260102-00015,P-0060,click,checkout_upsell,synthetic
INT-0000151,2026-01-02T14:07:56,RCPT-20260102-00015,P-0058,view,checkout_upsell,synthetic
INT-0000152,2026-01-02T14:07:56,RCPT-20260102-00015,P-0058,hover,checkout_upsell,synthetic
INT-0000153,2026-01-02T18:45:20,RCPT-20260102-00016,P-0011,view,checkout_upsell,synthetic
INT-0000154,2026-01-02T18:45:20,RCPT-20260102-00016,P-0011,hover,checkout_upsell,synthetic
INT-0000155,2026-01-02T18:45:20,RCPT-20260102-00016,P-0021,view,checkout_upsell,synthetic
INT-0000156,2026-01-02T18:45:20,RCPT-20260102-00016,P-0013,view,checkout_upsell,synthetic
INT-0000157,2026-01-02T18:45:20,RCPT-20260102-00016,P-0013,hover,checkout_upsell,synthetic
INT-0000158,2026-01-02T18:45:20,RCPT-20260102-00016,P-0057,view,checkout_upsell,synthetic
INT-0000159,2026-01-02T18:45:20,RCPT-20260102-00016,P-0057,hover,checkout_upsell,synthetic
INT-0000160,2026-01-02T18:45:20,RCPT-20260102-00016,P-0018,view,checkout_upsell,synthetic
INT-0000161,2026-01-02T18:45:20,RCPT-20260102-00016,P-0018,hover,checkout_upsell,synthetic
INT-0000162,2026-01-02T18:45:20,RCPT-20260102-00016,P-0072,view,checkout_upsell,synthetic
INT-0000163,2026-01-02T10:59:22,RCPT-20260102-00017,P-0069,view,checkout_upsell,synthetic
INT-0000164,2026-01-02T10:59:22,RCPT-20260102-00017,P-0036,view,checkout_upsell,synthetic
INT-0000165,2026-01-02T10:59:22,RCPT-20260102-00017,P-0036,hover,checkout_upsell,synthetic
INT-0000166,2026-01-02T10:59:22,RCPT-20260102-00017,P-0038,view,checkout_upsell,synthetic
INT-0000167,2026-01-02T10:59:22,RCPT-20260102-00017,P-0038,click,checkout_upsell,synthetic
INT-0000168,2026-01-02T10:59:22,RCPT-20260102-00017,P-0001,view,checkout_upsell,synthetic
INT-0000169,2026-01-02T10:59:22,RCPT-20260102-00017,P-0001,click,checkout_upsell,synthetic
INT-0000170,2026-01-02T10:59:22,RCPT-20260102-00017,P-0005,view,checkout_upsell,synthetic
INT-0000171,2026-01-02T10:59:22,RCPT-20260102-00017,P-0005,hover,checkout_upsell,synthetic
INT-0000172,2026-01-02T10:59:22,RCPT-20260102-00017,P-0064,view,checkout_upsell,synthetic
INT-0000173,2026-01-02T12:59:42,RCPT-20260102-00018,P-0060,view,checkout_upsell,synthetic
INT-0000174,2026-01-02T12:59:42,RCPT-20260102-00018,P-0060,hover,checkout_upsell,synthetic
INT-0000175,2026-01-02T12:59:42,RCPT-20260102-00018,P-0023,view,checkout_upsell,synthetic
INT-0000176,2026-01-02T12:59:42,RCPT-20260102-00018,P-0023,hover,checkout_upsell,synthetic
INT-0000177,2026-01-02T12:59:42,RCPT-20260102-00018,P-0002,view,checkout_upsell,synthetic
INT-0000178,2026-01-02T12:59:42,RCPT-20260102-00018,P-0002,hover,checkout_upsell,synthetic
INT-0000179,2026-01-02T12:59:42,RCPT-20260102-00018,P-0018,view,checkout_upsell,synthetic
INT-0000180,2026-01-02T12:59:42,RCPT-20260102-00018,P-0072,view,checkout_upsell,synthetic
INT-0000181,2026-01-02T12:59:42,RCPT-20260102-00018,P-0062,view,checkout_upsell,synthetic
INT-0000182,2026-01-02T12:59:42,RCPT-20260102-00018,P-0062,hover,checkout_upsell,synthetic
INT-0000183,2026-01-02T17:13:45,RCPT-20260102-00019,P-0034,view,checkout_upsell,synthetic
INT-0000184,2026-01-02T17:13:45,RCPT-20260102-00019,P-0010,view,checkout_upsell,synthetic
INT-0000185,2026-01-02T17:13:45,RCPT-20260102-00019,P-0010,hover,checkout_upsell,synthetic
INT-0000186,2026-01-02T17:13:45,RCPT-20260102-00019,P-0020,view,checkout_upsell,synthetic
INT-0000187,2026-01-02T17:13:45,RCPT-20260102-00019,P-0020,hover,checkout_upsell,synthetic
INT-0000188,2026-01-02T17:13:45,RCPT-20260102-00019,P-0001,view,checkout_upsell,synthetic
INT-0000189,2026-01-02T17:13:45,RCPT-20260102-00019,P-0001,hover,checkout_upsell,synthetic
INT-0000190,2026-01-02T17:13:45,RCPT-20260102-00019,P-0018,view,checkout_upsell,synthetic
INT-0000191,2026-01-02T17:13:45,RCPT-20260102-00019,P-0018,hover,checkout_upsell,synthetic
INT-0000192,2026-01-02T17:13:45,RCPT-20260102-00019,P-0044,view,checkout_upsell,synthetic
INT-0000193,2026-01-02T17:13:45,RCPT-20260102-00019,P-0044,hover,checkout_upsell,synthetic
INT-0000194,2026-01-03T08:21:49,RCPT-20260103-00020,P-0065,view,checkout_upsell,synthetic
INT-0000195,2026-01-03T08:21:49,RCPT-20260103-00020,P-0012,view,checkout_upsell,synthetic
INT-0000196,2026-01-03T08:21:49,RCPT-20260103-00020,P-0012,hover,checkout_upsell,synthetic
INT-0000197,2026-01-03T08:21:49,RCPT-20260103-00020,P-0057,view,checkout_upsell,synthetic
INT-0000198,2026-01-03T08:21:49,RCPT-20260103-00020,P-0057,click,checkout_upsell,synthetic
INT-0000199,2026-01-03T08:21:49,RCPT-20260103-00020,P-0026,view,checkout_upsell,synthetic
INT-0000200,2026-01-03T08:21:49,RCPT-20260103-00020,P-0018,view,checkout_upsell,synthetic
INT-0000201,2026-01-03T08:21:49,RCPT-20260103-00020,P-0018,hover,checkout_upsell,synthetic
INT-0000202,2026-01-03T08:21:49,RCPT-20260103-00020,P-0053,view,checkout_upsell,synthetic
INT-0000203,2026-01-03T08:21:49,RCPT-20260103-00020,P-0053,hover,checkout_upsell,synthetic
INT-0000204,2026-01-03T16:02:53,RCPT-20260103-00021,P-0008,view,checkout_upsell,synthetic
INT-0000205,2026-01-03T16:02:53,RCPT-20260103-00021,P-0008,hover,checkout_upsell,synthetic
INT-0000206,2026-01-03T16:02:53,RCPT-20260103-00021,P-0043,view,checkout_upsell,synthetic
INT-0000207,2026-01-03T16:02:53,RCPT-20260103-00021,P-0043,hover,checkout_upsell,synthetic
INT-0000208,2026-01-03T16:02:53,RCPT-20260103-00021,P-0021,view,checkout_upsell,synthetic
INT-0000209,2026-01-03T16:02:53,RCPT-20260103-00021,P-0021,hover,checkout_upsell,synthetic
INT-0000210,2026-01-03T16:02:53,RCPT-20260103-00021,P-0021,click,checkout_upsell,synthetic
INT-0000211,2026-01-03T16:02:53,RCPT-20260103-00021,P-0001,view,checkout_upsell,synthetic
INT-0000212,2026-01-03T16:02:53,RCPT-20260103-00021,P-0001,hover,checkout_upsell,synthetic
INT-0000213,2026-01-03T16:02:53,RCPT-20260103-00021,P-0032,view,checkout_upsell,synthetic
INT-0000214,2026-01-03T16:02:53,RCPT-20260103-00021,P-0032,hover,checkout_upsell,synthetic
INT-0000215,2026-01-03T16:02:53,RCPT-20260103-00021,P-0039,view,checkout_upsell,synthetic
INT-0000216,2026-01-03T22:55:26,RCPT-20260103-00022,P-0061,view,checkout_upsell,synthetic
INT-0000217,2026-01-03T22:55:26,RCPT-20260103-00022,P-0061,hover,checkout_upsell,synthetic
INT-0000218,2026-01-03T22:55:26,RCPT-20260103-00022,P-0035,view,checkout_upsell,synthetic
INT-0000219,2026-01-03T22:55:26,RCPT-20260103-00022,P-0056,view,checkout_upsell,synthetic
INT-0000220,2026-01-03T22:55:26,RCPT-20260103-00022,P-0010,view,checkout_upsell,synthetic
INT-0000221,2026-01-03T22:55:26,RCPT-20260103-00022,P-0010,hover,checkout_upsell,synthetic
INT-0000222,2026-01-03T22:55:26,RCPT-20260103-00022,P-0058,view,checkout_upsell,synthetic
INT-0000223,2026-01-03T22:55:26,RCPT-20260103-00022,P-0058,hover,checkout_upsell,synthetic
INT-0000224,2026-01-03T22:55:26,RCPT-20260103-00022,P-0049,view,checkout_upsell,synthetic
INT-0000225,2026-01-03T20:44:06,RCPT-20260103-00023,P-0034,view,checkout_upsell,synthetic
INT-0000226,2026-01-03T20:44:06,RCPT-20260103-00023,P-0069,view,checkout_upsell,synthetic
INT-0000227,2026-01-03T20:44:06,RCPT-20260103-00023,P-0068,view,checkout_upsell,synthetic
INT-0000228,2026-01-03T20:44:06,RCPT-20260103-00023,P-0068,hover,checkout_upsell,synthetic
INT-0000229,2026-01-03T20:44:06,RCPT-20260103-00023,P-0046,view,checkout_upsell,synthetic
INT-0000230,2026-01-03T20:44:06,RCPT-20260103-00023,P-0046,hover,checkout_upsell,synthetic
INT-0000231,2026-01-03T20:44:06,RCPT-20260103-00023,P-0064,view,checkout_upsell,synthetic
INT-0000232,2026-01-03T20:44:06,RCPT-20260103-00023,P-0022,view,checkout_upsell,synthetic
INT-0000233,2026-01-03T20:44:06,RCPT-20260103-00023,P-0022,hover,checkout_upsell,synthetic
INT-0000234,2026-01-03T21:04:49,RCPT-20260103-00024,P-0034,view,checkout_upsell,synthetic
INT-0000235,2026-01-03T21:04:49,RCPT-20260103-00024,P-0034,click,checkout_upsell,synthetic
INT-0000236,2026-01-03T21:04:49,RCPT-20260103-00024,P-0036,view,checkout_upsell,synthetic
INT-0000237,2026-01-03T21:04:49,RCPT-20260103-00024,P-0066,view,checkout_upsell,synthetic
INT-0000238,2026-01-03T21:04:49,RCPT-20260103-00024,P-0007,view,checkout_upsell,synthetic
INT-0000239,2026-01-03T21:04:49,RCPT-20260103-00024,P-0075,view,checkout_upsell,synthetic
INT-0000240,2026-01-03T21:04:49,RCPT-20260103-00024,P-0017,view,checkout_upsell,synthetic
INT-0000241,2026-01-03T21:04:49,RCPT-20260103-00024,P-0017,hover,checkout_upsell,synthetic
INT-0000242,2026-01-03T20:20:27,RCPT-20260103-00025,P-0012,view,checkout_upsell,synthetic
INT-0000243,2026-01-03T20:20:27,RCPT-20260103-00025,P-0036,view,checkout_upsell,synthetic
INT-0000244,2026-01-03T20:20:27,RCPT-20260103-00025,P-0036,click,checkout_upsell,synthetic
INT-0000245,2026-01-03T20:20:27,RCPT-20260103-00025,P-0008,view,checkout_upsell,synthetic
INT-0000246,2026-01-03T20:20:27,RCPT-20260103-00025,P-0008,hover,checkout_upsell,synthetic
INT-0000247,2026-01-03T20:20:27,RCPT-20260103-00025,P-0074,view,checkout_upsell,synthetic
INT-0000248,2026-01-03T20:20:27,RCPT-20260103-00025,P-0074,hover,checkout_upsell,synthetic
INT-0000249,2026-01-03T20:20:27,RCPT-20260103-00025,P-0041,view,checkout_upsell,synthetic
INT-0000250,2026-01-03T20:20:27,RCPT-20260103-00025,P-0041,click,checkout_upsell,synthetic
INT-0000251,2026-01-03T20:20:27,RCPT-20260103-00025,P-0022,view,checkout_upsell,synthetic
INT-0000252,2026-01-03T20:20:27,RCPT-20260103-00025,P-0022,hover,checkout_upsell,synthetic
INT-0000253,2026-01-03T13:27:04,RCPT-20260103-00026,P-0006,view,checkout_upsell,synthetic
INT-0000254,2026-01-03T13:27:04,RCPT-20260103-00026,P-0006,hover,checkout_upsell,synthetic
INT-0000255,2026-01-03T13:27:04,RCPT-20260103-00026,P-0068,view,checkout_upsell,synthetic
INT-0000256,2026-01-03T13:27:04,RCPT-20260103-00026,P-0001,view,checkout_upsell,synthetic
INT-0000257,2026-01-03T13:27:04,RCPT-20260103-00026,P-0062,view,checkout_upsell,synthetic
INT-0000258,2026-01-03T13:27:04,RCPT-20260103-00026,P-0062,hover,checkout_upsell,synthetic
INT-0000259,2026-01-03T13:27:04,RCPT-20260103-00026,P-0063,view,checkout_upsell,synthetic
INT-0000260,2026-01-03T13:27:04,RCPT-20260103-00026,P-0063,hover,checkout_upsell,synthetic
INT-0000261,2026-01-03T13:27:04,RCPT-20260103-00026,P-0052,view,checkout_upsell,synthetic
INT-0000262,2026-01-03T17:36:19,RCPT-20260103-00027,P-0065,view,checkout_upsell,synthetic
INT-0000263,2026-01-03T17:36:19,RCPT-20260103-00027,P-0065,hover,checkout_upsell,synthetic
INT-0000264,2026-01-03T17:36:19,RCPT-20260103-00027,P-0043,view,checkout_upsell,synthetic
INT-0000265,2026-01-03T17:36:19,RCPT-20260103-00027,P-0043,hover,checkout_upsell,synthetic
INT-0000266,2026-01-03T17:36:19,RCPT-20260103-00027,P-0043,click,checkout_upsell,synthetic
